Count,Category,Hour
55,Rape,4
3,Loitering,1
149,Narcotic,5
178,Sex Offense,10
19,Arson,9
69,Liquor Law Violation,12
22,Arson,11
3726,Car Prowl,10
5,Loitering,11
3,Loitering,10
3587,Car Prowl,11
10,Homicide,19
6,Disorderly Conduct,13
201,Weapon,17
10,Pornography,0
5208,Theft,10
198,Sex Offense,11
4138,Car Prowl,1
299,DUI,4
11,Homicide,21
1877,DUI,1
22,Arson,6
3769,Theft,22
193,Sex Offense,1
5930,Theft,11
4249,Burglary,0
204,Weapon,16
4309,Theft,9
66,Weapon,8
1102,Motor Vehicle Theft,7
135,Liquor Law Violation,22
533,Trespass,23
55,Arson,22
238,Robbery,7
1265,Theft,6
21,Arson,10
3240,Motor Vehicle Theft,21
5,Homicide,12
275,Aggravated Assault,6
471,Trespass,19
3,Loitering,20
590,Trespass,21
154,DUI,5
3938,Burglary,8
123,Liquor Law Violation,20
269,Weapon,0
3331,Burglary,16
554,Robbery,13
33,Rape,5
584,Narcotic,1
874,Aggravated Assault,16
222,Narcotic,4
250,Sex Offense,20
9303,Car Prowl,20
1,Gamble,0
170,DUI,16
50,DUI,8
1438,Burglary,5
284,Family Offense,10
7712,Theft,13
5,Pornography,22
311,Family Offense,11
90,Prostitution,13
36,Rape,16
729,Aggravated Assault,12
89,Family Offense,1
15,Prostitution,3
28,Rape,8
994,Motor Vehicle Theft,1
149,Liquor Law Violation,23
2479,Motor Vehicle Theft,0
474,Robbery,11
52,Prostitution,11
318,Robbery,9
358,Family Offense,13
49,Liquor Law Violation,2
57,Weapon,5
971,Aggravated Assault,18
110,Prostitution,1
1411,DUI,0
56,Family Offense,3
2099,Theft,7
1172,Motor Vehicle Theft,14
219,Rape,0
198,Robbery,6
20,Prostitution,10
553,Trespass,20
51,Liquor Law Violation,19
533,Trespass,18
735,Narcotic,17
591,Aggravated Assault,3
85,Rape,22
18,Liquor Law Violation,10
7,Disorderly Conduct,17
37,Rape,10
2096,Car Prowl,6
1231,Motor Vehicle Theft,8
6,Pornography,18
41,DUI,10
82,Sex Offense,6
931,DUI,22
7,Prostitution,9
2511,Theft,1
952,Theft,4
39,Prostitution,2
30,Arson,5
8,Liquor Law Violation,5
680,Narcotic,11
276,Family Offense,9
455,Motor Vehicle Theft,4
236,Narcotic,9
70,Family Offense,2
281,Sex Offense,14
4233,Car Prowl,14
848,Robbery,17
164,Narcotic,6
723,Trespass,14
1,Gamble,10
150,Prostitution,17
19,Arson,16
6,Prostitution,4
17,Arson,8
90,Weapon,10
8,Disorderly Conduct,11
293,Trespass,3
8331,Theft,17
307,Weapon,22
165,Narcotic,7
317,Trespass,2
79,Arson,0
252,Sex Offense,23
226,Sex Offense,21
9494,Car Prowl,21
8776,Car Prowl,23
6,Loitering,21
357,Family Offense,17
2882,Burglary,22
1014,Narcotic,13
960,Motor Vehicle Theft,13
10,Liquor Law Violation,9
725,Trespass,15
3299,Burglary,10
824,Robbery,1
842,Aggravated Assault,15
36,Family Offense,4
328,Robbery,4
2,Disorderly Conduct,7
13,Homicide,3
6,Prostitution,6
2,Pornography,19
2858,Burglary,11
5360,Theft,0
2888,Car Prowl,2
191,Sex Offense,9
23,Homicide,2
3771,Car Prowl,9
18,Rape,7
3383,Burglary,9
169,Sex Offense,2
5,Homicide,14
23,Disorderly Conduct,21
342,Family Offense,14
3,Loitering,9
54,DUI,7
316,Aggravated Assault,5
1634,Burglary,6
81,Weapon,9
85,Prostitution,14
3646,Theft,8
166,Weapon,11
8438,Theft,16
36,Rape,13
5,Homicide,15
248,Robbery,5
1,Gamble,9
509,Aggravated Assault,10
4,Pornography,16
18,Liquor Law Violation,3
61,Weapon,6
101,DUI,13
2,Gamble,11
61,Family Offense,6
35,Arson,17
246,Robbery,8
791,Robbery,16
252,Family Offense,21
164,Family Offense,23
431,Aggravated Assault,9
92,Liquor Law Violation,15
9,Loitering,17
869,Theft,5
8053,Car Prowl,17
14,Disorderly Conduct,1
1118,Narcotic,22
267,Sex Offense,17
64,Weapon,7
1570,Car Prowl,4
2762,Burglary,13
456,Narcotic,10
84,Sex Offense,4
49,DUI,9
78,DUI,11
839,Robbery,0
35,Rape,6
11,Disorderly Conduct,0
85,DUI,6
77,Arson,1
40,Arson,4
220,Weapon,13
396,Prostitution,23
523,Prostitution,21
38,Rape,9
2663,Burglary,7
43,Rape,11
12,Disorderly Conduct,14
